_id,sectionsTitle,date,lessonsTitle,type,totalQuestionsInQuiz,duration,totalPointsInAssignment,url
6400ce20182c6743cb4c0a72,Python Practice Questions,2023-03-06,Python Practice  Set -7,sectionResource,,,,https://drive.google.com/file/d/1uzP_jKV3ahVcBMsnHGKvSC0aoWtTt94V/view?usp=share_link
6400ce43182c67472c4c0a77,Python Practice Questions,2023-03-06,Python Practice  Set -8,sectionResource,,,,https://drive.google.com/file/d/1PCSLHIDehYugRfXmR8SWxsuiSxCPY2iq/view?usp=share_link
6400ce64182c673fe94c0a7c,Python Practice Questions,2023-03-06,Python Practice  Set -9,sectionResource,,,,https://drive.google.com/file/d/150pwT3M-AD4SIcJkWIkYuiQhArvXDCHz/view?usp=share_link
6400ce87182c6784d64c0a81,Python Practice Questions,2023-03-06,Python Practice  Set -10,sectionResource,,,,https://drive.google.com/file/d/1ufgFchXHq1cQU6wjufm2Qr36nu9VcvxM/view?usp=share_link
6400cea8182c677d754c0a86,Python Practice Questions,2023-03-06,Python Practice  Set -11,sectionResource,,,,https://drive.google.com/file/d/1louc6l41WuC5veMnFXedAiF5F3Ghl2r7/view?usp=share_link
6400d00b182c67894e4c0a92,Python Practice Solutions,2023-03-06,Python Practice Set-1,sectionResource,,,,https://drive.google.com/file/d/1X7kgMfJodJJKIhQPWkKp_L9yImNcmtcP/view?usp=share_link
6400d02a182c6750f64c0a97,Python Practice Solutions,2023-03-06,Python Practice Set-2,sectionResource,,,,https://drive.google.com/file/d/1mFUuRGKnay0fApPYW8Mph3GZb4Foj5Sy/view?usp=share_link
6400d04c182c67a2b94c0a9c,Python Practice Solutions,2023-03-06,Python Practice Set-3,sectionResource,,,,https://drive.google.com/file/d/1q3thPZcvX-svXMHnIla--FLDh8er-pOH/view?usp=share_link
6400d07a182c67eb5e4c0aa1,Python Practice Solutions,2023-03-06,Python Practice Set-4,sectionResource,,,,https://drive.google.com/file/d/1o6F3qJNjuj40XSTYKKovNEr9U9rB1AAW/view?usp=share_link
6400d09a182c6767594c0aa6,Python Practice Solutions,2023-03-06,Python Practice Set-5,sectionResource,,,,https://drive.google.com/file/d/1wzyqPsd4PXuqmIozieBMxo0yA4dtQXc0/view?usp=share_link
